CRN,Course,Section,Title,Hours,Area of LLC,Type,Days,Time,Location,Instructor,Seats Still Available,STATUS,
"8382","FINC 424","2","Portfolio Management","3","","Lec","MWF","1300-1350","LUTR 105","Chen, Xian","28","Open",
"8418","FINC 428","1","WI:Financial Policy &amp; Strategy","3","  WI","Lec","MWF","0800-0850","LUTR 123","Rahim, Niazur","19","Open",
"8419","FINC 428","2","WI:Financial Policy &amp; Strategy","3","  WI","Lec","MWF","0900-0950","LUTR 123","Rahim, Niazur","19","Open",
"8420","FINC 428","3","WI:Financial Policy &amp; Strategy","3","  WI","Lec","TR","0930-1045","FORBES 2090","Ji, Xiuqing","19","Open",
"8422","FINC 524","1","Modern Portfolio Management","3","","Lec","MW","1930-2045","LUTR 137","Haque Simu, Tahsina","15","Open",
"8423","FINC 525","1","Wealth Mgmt &amp; Personal Hedging","3","","Lec","TR","1930-2045","LUTR 242","Staff, CNU","15","Open",
"8309","FINC 552","1","Financial Reg &amp; Prof Responsib","3","","Lec","TR","1800-1915","LUTR 137","Ficht, Linda","8","Open",
"8424","FINC 591","1","Intgrtd Finc Analysis &amp; Stateg","3","","Lec","TR","1630-1745","LUTR 264","Donaldson, William","15","Open",
"8402","FNAR 117","1","3D Design","3","","Stu","MW","1400-1620","TFAC 119","Henry, Gregory","17","Open",
"8403","FNAR 117","2","3D Design","3","","Stu","MW","1030-1250","TFAC 119","Lytle, Ryan","17","Open",
"8404","FNAR 118","1","2D Design","3","","Stu","TR","1030-1250","TFAC 325","Brahe, Christian","18","Open",
"8405","FNAR 118","2","2D Design","3","","Stu","MW","1400-1620","TFAC 325","Lytle, Ryan","18","Open",
"8406","FNAR 121","1","Drawing I","3","","Stu","TR","1400-1620","TFAC 318","Harris, Christi","18","Open",
"8407","FNAR 128","1","Introduction to Digital Media","3","  AICE","Stu","MW","1030-1250","TFAC 228","Skees, Alan","16","Open",
"8408","FNAR 201","1","World Art in Context I","3","  AICE","Lec","MWF","0900-0950","TFAC 205","O&#39;Connor-Salomon, Kelly","19","Open",
"8410","FNAR 201","2","World Art in Context I","3","  AICE","Lec","MWF","1000-1050","TFAC 102","O&#39;Connor-Salomon, Kelly","45","Open",
"8411","FNAR 201","3","World Art in Context I","3","  AICE","Lec","TR","1630-1745","TFAC 205","Stone, Ryan","19","Open",
"8412","FNAR 201","4","World Art in Context I","3","  AICE","Lec","TR","1800-1915","TFAC 205","Stone, Ryan","19","Open",
"8413","FNAR 201","5","World Art in Context I","3","  AICE","Lec","TR","1100-1215","TFAC 102","Wolff, Rebecca","45","Open",
"8414","FNAR 202","1","World Arts in Context II","3","  AICE","Lec","MWF","1400-1450","TFAC 204","Richardson, Margaret","19","Open",
"8415","FNAR 202","2","World Arts in Context II","3","  AICE","Lec","MWF","1100-1150","TFAC 102","Richardson, Margaret","95","Open",
"8416","FNAR 205","1","Digital Photography","3","  AICE","Stu","TR","1030-1250","TFAC 219","Skees, Kristin","16","Open",
"8417","FNAR 205","2","Digital Photography","3","  AICE","Stu","TR","1400-1620","TFAC 219","Skees, Kristin","16","Open",
"8602","FNAR 224","1","Painting I","3","","Stu","TR","1030-1250","TFAC 318","Harris, Christi","12","Open",
"8603","FNAR 227","1","Darkroom Photography","3","","Stu","TR","1400-1620","TFAC 217","Bavaria, Christopher","12","Open",
"8604","FNAR 241","1","Ceramics I","3","  AICE","Stu","TR","1800-2020","TFAC 121","Henry, Gregory","8","Open",
"8605","FNAR 241","2","Ceramics I","3","  AICE","Stu","TR","1400-1620","TFAC 121","Henry, Gregory","16","Open",
"8606","FNAR 241","3","Ceramics I","3","  AICE","Stu","MW","1800-2020","TFAC 121","Staff, CNU","16","Open",
"8607","FNAR 252","1","Printmaking I","3","","Stu","MW","1400-1620","TFAC 304","Skees, Alan","12","Open",
"8608","FNAR 324","1","Advanced Painting","3","","Stu","TR","1030-1250","TFAC 318","Harris, Christi","6","Open",
"8609","FNAR 327","1","Advanced Darkroom Photography","3","","Stu","TR","1030-1250","TFAC 217","Bavaria, Christopher","11","Open",
"8610","FNAR 331","1","Advanced Digital Photography","3","  AICE","Stu","MW","1030-1250","TFAC 219","Skees, Kristin","15","Open",
"8611","FNAR 335","1","Graphic Design Processes","3","","Stu","MW","0800-1020","TFAC 228","Skees, Alan","16","Open",
"8612","FNAR 341","1","Advanced Ceramics","3","","Stu","TR","1800-2020","TFAC 121","Henry, Gregory","8","Open",
"8613","FNAR 352","1","Advanced Printmaking","3","","Stu","MW","1400-1620","TFAC 304","Skees, Alan","6","Open",
"8614","FNAR 373","1","Italian Renaissance Art","3","  AICE","Lec","TR","1500-1615","TFAC 102","Erhardt, Michelle","19","Open",
"9195","FNAR 395","1","SPC TP: Latin American Art","3","","Lec","TR","1330-1445","TFAC 205","Wolff, Rebecca","19","Open",
"8618","FNAR 403","1","WI:Adv Topics in Art History","3","  WI","Lec","MWF","1300-1350","TFAC 204","Richardson, Margaret","19","Open",
"8616","FNAR 488","1","Senior Seminar in Studio Art","3","","Stu","TR","0800-1020","TFAC 325","Harris, Christi","0","Closed",
"8617","FNAR 490","1","WI: Senior Seminar in Art Hist","3","  WI","Lec","TR","0930-1045","TFAC 311","Wolff, Rebecca","12","Open",
"8679","FREN 102","1","Beginning French II","3","","Lec","MWF","0800-0850","MCM 316","Siewe Seuchie, Patricia","23","Open",
"8680","FREN 102","2","Beginning French II","3","","Lec","MWF","0900-0950","MCM 316","Siewe Seuchie, Patricia","23","Open",
"8681","FREN 200","1","Eff Comm in French","3","  LLFL","Lec","MWF","1100-1150","MCM 366","Siewe Seuchie, Patricia","19","Open",
"8682","FREN 200","2","Eff Comm in French","3","  LLFL","Lec","MWF","1300-1350","MCM 310","Larson, Sharon","19","Open",
"8683","FREN 200","3","Eff Comm in French","3","  LLFL","Lec","MWF","0900-0950","MCM 257","Benham-Langdon, Rebecca","19","Open",
"8684","FREN 202","1","Intermediate French II","3","  LLFL","Lec","MWF","1000-1050","MCM 357","Mulryan, Michael","23","Open",
"8685","FREN 314","1","Business French","3","  LLFL","Lec","MWF","1300-1350","MCM 164","Mulryan, Michael","19","Open",
"8686","FREN 390","1","Studies in French Literature","3","  LLFL","Lec","MWF","1000-1050","MCM 164","Larson, Sharon","19","Open",
"8094","GEOG 210","1","Intro to Human Geography","3","","Lec","MWF","1200-1250","TFAC 102","Bono, Federica","99","Open",
"8095","GEOG 211","1","Geog of Human-Enviro Interact","3","  AINW","Lec","MWF","1000-1050","LUTR 269","Finn, John","19","Open",
